"","Mean","Median","Mode","ESS","HDImass","HDIlow","HDIhigh","CompVal","PcntGtCompVal","ROPElow","ROPEhigh","PcntLtROPE","PcntInROPE","PcntGtROPE"
"CHAIN",2,2,3.00039872733008,1.5,0.95,1,3,NA,NA,NA,NA,NA,NA,NA
"beta0",27.064459510978,24.29855,-2.8924963178581,1002,0.95,-482.99,492.646,NA,NA,NA,NA,NA,NA,NA
"beta[1]",-0.0598773520508982,-0.04487075,0.0198630663406314,1002,0.95,-0.785482,0.647005,NA,NA,NA,NA,NA,NA,NA
"beta[2]",0.189136608700599,0.1884335,0.146526265444443,1002,0.95,-1.23023,1.69612,NA,NA,NA,NA,NA,NA,NA
"beta[3]",0.109805863083832,0.151651,0.325721633190291,1002,0.95,-2.15958,2.50402,NA,NA,NA,NA,NA,NA,NA
"beta[4]",0.917016503842315,0.916718,0.893905741378259,1002,0.95,-0.176972,1.78995,NA,NA,NA,NA,NA,NA,NA
"beta[5]",-0.380967779131737,-0.4515685,-0.87251636890099,1002,0.95,-4.44641,4.41624,NA,NA,NA,NA,NA,NA,NA
"beta[6]",1.47824299844311,1.50497,1.30902779384295,856.8,0.95,-4.26355,7.16983,NA,NA,NA,NA,NA,NA,NA
"sigma",85.3733655688623,85.21295,84.9494409757215,1002,0.95,77.3964,92.6447,NA,NA,NA,NA,NA,NA,NA
"zbeta0",118.234854291417,118.2375,118.085372370772,1002,0.95,115.649,121.245,NA,NA,NA,NA,NA,NA,NA
"zbeta[1]",-1.26427063245509,-0.947416,0.419360094690671,1002,0.95,-16.5849,13.6611,NA,NA,NA,NA,NA,NA,NA
"zbeta[2]",2.25417200662675,2.24579,1.74638325412939,1002,0.95,-14.6622,20.2148,NA,NA,NA,NA,NA,NA,NA
"zbeta[3]",0.726151252215569,1.002874,2.15401274133382,1002,0.95,-14.2814,16.5592,NA,NA,NA,NA,NA,NA,NA
"zbeta[4]",4.51558954610778,4.51412,4.40177064878135,1002,0.95,-0.871447,8.81412,NA,NA,NA,NA,NA,NA,NA
"zbeta[5]",-1.44018422355289,-1.70708,-3.29839009129193,1002,0.95,-16.8089,16.6948,NA,NA,NA,NA,NA,NA,NA
"zbeta[6]",1.10040362189621,1.1203,0.974432919149719,856.8,0.95,-3.17379,5.33722,NA,NA,NA,NA,NA,NA,NA
"zsigma",119.443253493014,119.2185,118.850550210766,1002,0.95,108.283,129.616,NA,NA,NA,NA,NA,NA,NA
"nu",81.7859472055888,73.6919,58.7225951759634,1002,0.95,23.3864,160.705,NA,NA,NA,NA,NA,NA,NA
"pred",153.896932235529,153.973,152.393606415482,908.7,0.95,108.06,202.184,NA,NA,NA,NA,NA,NA,NA
"log10(nu)",1.86498396248809,1.86741975106545,1.85832835121917,1002,0.95,1.46536202861106,2.24609955567079,NA,NA,NA,NA,NA,NA,NA
