"","accuracy","dis","gir","putts","rounds","score","scrambling"
"Mean",61.4405601907032,290.80768772348,65.6616746126341,29.1633313468415,78.7115613825983,70.9219606674613,58.1156376638856
"Std.Dev",5.05884480070335,8.91663138981872,2.74541091529509,0.518467696580826,14.2741367984614,0.698305399784328,3.38476877654319
"Min",43.02,266.4,53.54,27.51,45,68.698,44.01
"Q1",57.94,284.9,63.83,28.81,69,70.494,55.9
"Median",61.43,290.55,65.79,29.14,79.5,70.902,58.275
"Q3",64.91,296.4,67.58,29.52,89,71.343,60.42
"Max",76.88,319.7,73.52,31,120,74.4,69.33
"MAD",5.166861,8.52495,2.77246200000001,0.526323000000001,15.5673,0.6397419,3.35067599999999
"IQR",6.9675,11.5,3.75,0.710000000000001,20,0.848500000000001,4.52
"CV",0.0823372180364465,0.0306616082250799,0.0418114666050085,0.0177780683014109,0.181347397354732,0.00984610962827919,0.0582419622773332
"Skewness",-0.0139982067665111,0.244315676418559,-0.317821577002878,0.153033859833405,-0.0847674075307904,0.167680850531653,-0.198197180355574
"SE.Skewness",0.0597436734938347,0.0597436734938347,0.0597436734938347,0.0597436734938347,0.0597436734938347,0.0597436734938347,0.0597436734938347
"Kurtosis",-0.120376883775797,-0.033776415253608,0.41360205383599,0.0581373288566227,-0.610018904207823,1.06754406133791,0.0441028824750651
"N.Valid",1678,1678,1678,1678,1678,1678,1678
"Pct.Valid",100,100,100,100,100,100,100
