"rounds","dis","accuracy","scrambling","gir","putts","score"
60,291.5,75.19,60.67,73.51,29.93,69.617
109,283.5,73.58,60.13,68.22,29.31,70.758
93,286.5,72.24,62.27,68.67,29.12,70.432
78,289.2,71.94,64.16,68.8,29.17,70.015
103,278.9,71.44,59.23,67.12,29.11,71.038
103,282.9,71.37,63.26,64.52,28.25,70.28
93,295.7,71.29,54.8,71.09,29.89,70.404
94,295.2,70.16,61.05,68.84,29.04,70.152
77,293,70.03,54.33,68.77,29.8,70.489
50,280.5,69.91,62.58,63.19,28.73,70.342
60,288.9,69.79,61.03,66.57,29.29,71.631
94,295.1,69.11,60.93,71.56,29.67,70.436
104,292.7,68.98,56.89,71.2,29.66,70.457
82,285.4,68.93,58.57,63.03,28.5,71.043
98,299.6,67.9,56.78,69.18,29.68,70.303
75,295.1,67.85,57.98,70.16,29.47,69.887
86,295.4,67.8,58.03,71.75,29.46,70.154
94,291.7,67.7,59.43,69.57,29.7,70.568
65,281.1,67.52,63,64.88,28.69,71.097
83,286.1,67.51,59.91,67.02,29.15,70.692
94,291.9,67.14,56.95,67.59,29.29,70.536
82,297.3,66.91,56.47,72.08,29.88,70.914
87,286,66.83,57.51,63.03,28.45,71.024
107,292.3,66.76,62.02,66.51,28.72,70.469
97,294.4,66.74,52.76,69.65,30.19,71.04
66,285.1,66.63,55.65,68.89,29.58,71.325
77,286.7,66.49,64,63.77,28.52,70.675
73,293.6,66.41,57.11,67.01,28.97,70.593
93,295.8,66.36,63.31,68.82,29.26,70.578
89,290.8,66.33,60.29,65.38,28.91,70.729
81,291.8,66.22,54.77,70.52,30.37,71.372
85,298.2,66.18,55.76,69.48,29.63,70.525
70,303.5,66.02,63.03,69.95,28.67,68.993
94,288.6,65.84,58.93,63.83,28.92,71.333
60,291.3,65.77,60,66.27,29.14,71.465
84,296.6,65.68,55.96,69.72,29.86,70.736
92,289.4,65.6,58.59,68.04,29.26,70.75
90,290.2,65.56,57.36,64.95,28.74,71.281
51,293.6,65.53,51.02,60.3,29.88,72.182
74,299.8,65.33,63.05,69.52,28.99,69.435
81,298.7,65.33,58.2,67.04,29.67,71.486
51,294.7,65.12,55.59,62.2,28.93,70.629
82,290.9,65.09,55.63,67.78,29.29,70.594
65,297.7,65.06,59.83,67.12,29.64,71.066
98,291.8,65.06,56.49,66.97,29.36,71.185
67,296.9,65.04,58.81,68.96,29.02,71.135
73,301,65.04,58.67,70.24,29.63,69.797
88,291.1,64.99,58.85,67.86,29.38,71.02
73,306.9,64.98,55.77,69.36,29.3,69.342
67,293.2,64.92,59.95,64.5,29.2,71.001
62,299.8,64.81,64.26,65.74,29.24,70.157
87,286.5,64.7,59.39,65.54,29.75,71.683
69,294.7,64.67,57.46,69.98,29.66,70.835
62,296.4,64.66,55.77,70.11,29.62,70.924
108,289.8,64.64,63.53,68.24,28.9,70.411
81,297.7,64.58,58.94,66.89,29.42,70.32
73,302.8,64.57,54.01,68.99,30.03,71.619
69,302.8,64.53,55.61,68.44,29.55,70.701
99,296.7,64.45,58.63,66.78,29.34,71.018
81,289,64.31,55.46,66.1,29.13,70.993
75,286.1,64.25,65.41,67.87,28.65,70.758
91,289.6,64.13,63.62,64.66,28.07,70.288
94,289.8,63.88,62.35,67.43,28.62,69.911
94,287.1,63.83,57.94,65.8,28.82,70.718
85,298.7,63.73,59.62,68.29,29.5,70.896
62,288.4,63.69,56.67,62.64,29.31,72.445
96,313.5,63.69,54.45,70.51,29.93,70.161
56,295.6,63.66,57.3,69.56,29.36,70.909
98,296.1,63.64,62.69,66.49,28.91,70.659
64,289.6,63.52,58.8,63.98,28.58,70.974
67,298.9,63.49,57.78,67.1,29.34,70.412
71,295.4,63.45,59.83,68.17,29.41,70.861
90,302.9,63.33,56.28,68.81,29.15,70.247
71,297.1,63.3,58.25,64.24,29.58,71.323
88,288,63.27,63.6,66.81,28.85,70.461
73,299,63.22,59.15,65.9,28.83,70.839
72,286.3,63.2,58.56,63.73,29.21,71.731
74,304.3,63.14,60.58,67.84,29.07,69.85
97,303.3,62.99,57.52,70.19,29.84,70.743
50,285.3,62.99,54.02,62.44,29.61,72.673
89,295.4,62.93,57.6,65.16,28.74,70.888
82,291.1,62.92,56.97,65.63,28.96,71.059
75,302,62.82,60.8,69.29,29.21,70.022
84,293.1,62.79,60.08,65.04,28.63,70.379
64,279.5,62.76,61.43,66.48,28.97,71.215
88,290.6,62.65,60.81,65.05,28.56,71.196
104,300.9,62.59,60.87,69.33,29.5,70.219
78,304.6,62.51,54.85,70.66,30.15,70.42
101,291.4,62.43,61.41,63.62,28.45,70.945
95,293.7,62.34,66.1,67.93,28.47,69.293
81,289.8,62.24,59.96,62.94,28.78,71.628
93,305.7,62.23,59.84,69.65,29.18,69.646
71,289.4,62.18,59.83,60.43,28.63,71.945
91,292.3,62.05,61.36,67.85,29.07,70.693
102,292.6,62.03,54.79,65.65,29.1,71.329
58,298.8,61.84,62.58,66.46,29.2,70.091
67,299.2,61.73,61.74,64.91,28.97,69.973
87,303.1,61.58,57.58,70.69,29.8,69.899
81,299.8,61.55,61.63,70.47,29.09,69.904
73,300.7,61.53,57.53,68.31,29.07,70.915
77,308.6,61.27,56.28,66.52,29.64,70.839
64,300.7,61.2,53.48,68.65,30.04,70.754
97,303.5,61.14,57.22,65.65,29.1,70.731
93,285.8,61.11,58.56,63.55,28.7,71.477
94,292.7,60.94,61.83,67.65,29.48,71.269
55,295.4,60.81,60.12,64.26,28.58,71.356
108,290.8,60.68,57.23,63.78,29,71.367
51,293.9,60.58,60.59,68.2,29.32,70.999
104,300,60.47,60,67.95,28.92,70.574
63,280.8,60.47,53.32,60.2,29.1,73.019
74,310.3,60.47,52.56,69.24,30.36,71.021
77,293.5,60.44,53.9,68.04,29.25,71.344
97,293.8,60.42,61.52,70.47,29.36,70.579
67,293.1,60.3,56.83,62.02,29.1,72.134
72,299,60.25,54.88,64.87,29.44,72.038
86,307.9,60.19,61.16,67.99,29.31,70.19
93,298.5,60.17,59.07,66.67,28.94,70.26
80,302.8,60.14,55.79,65.02,28.73,70.794
82,294,60.09,58.35,64.7,28.99,70.66
67,302.7,60.09,57.56,63.84,28.97,71.479
103,300,60.07,56.6,67.68,28.99,70.311
80,294.9,60.04,54.19,66.01,29.37,71.282
84,289.3,59.89,62.86,67.59,29.28,70.791
96,304.9,59.77,57.81,65.59,29.18,70.486
77,314,59.46,62.5,70.57,28.47,68.698
70,304.5,59.38,60.16,66.49,29.02,71.112
68,303.6,59.35,64.16,67.4,28.49,69.35
70,284,59.24,54.93,63.02,29.09,71.715
71,308.9,59.2,57.18,70.12,29.14,69.958
69,305.2,59.11,55.38,65.61,28.92,71.031
91,308.2,59.02,58.14,67.79,29.56,70.971
84,302.4,58.99,57.86,63.32,28.76,71.162
56,282.8,58.9,52.85,56.94,28.31,72.531
81,299.2,58.76,56.76,67.11,29.61,71.356
70,291.7,58.59,58.31,68.19,29.5,71.398
99,312.6,58.59,56.55,69.42,29.65,70.92
79,292.2,58.51,57.74,60.39,28.52,71.929
91,311.8,58.41,62.47,68.77,28.33,69.118
67,295.4,58.38,56.44,70.31,29.48,71.191
87,299.5,58.34,56.22,66.53,29.19,70.521
75,310,58.32,62.35,65.28,28.24,69.603
90,313.1,58.27,56.64,68.21,29.33,70.384
99,309.5,58.06,55.11,70.37,29.59,70.444
92,303.6,57.91,58.6,65.17,29.43,71.275
86,305.5,57.67,54.55,67.92,29.95,71.37
87,298.1,57.6,55.69,68.58,29.53,70.44
56,301.4,57.5,57.6,63.46,29.12,72.251
78,298.9,57.31,59.53,63.58,28.94,71.149
76,296.2,57.27,60.34,64.79,29.23,71.028
77,306.1,57.13,57.14,65.26,29.01,70.789
85,298.4,57.03,61.12,63.18,28.36,70.517
101,290.3,56.98,58.08,65.23,28.98,71.243
92,303.2,56.92,61.07,64.65,28.64,70.734
87,290.9,56.86,61.3,62.99,28.07,70.841
64,313.4,56.85,63.28,68.28,28.76,69.444
89,293.1,56.72,52.4,63.2,29.24,71.954
96,299.7,56.57,60.86,65.62,29.14,70.719
76,299.6,56.52,58.43,67.49,29.27,71.192
80,307.9,56.37,56.84,65.28,29.2,71.457
94,307.5,56.33,55.68,67.96,29.26,70.862
74,285.2,56.26,59.55,64.05,28.91,71.532
72,307.3,56,54.32,62.5,28.94,72.091
64,319.7,55.79,62.97,66.3,28.46,69.303
65,297,55.69,58.86,60.94,28.18,71.179
92,298.7,55.59,55.24,69.04,29.53,70.841
79,294.2,55.5,52.51,64.59,29.24,72.044
71,301,55.45,53.3,62.48,28.88,72.112
69,280.4,55.41,60.17,61.28,28.1,71.552
80,302.5,55.27,55.76,67.42,29.42,71.145
60,296.2,55.22,56.98,61.75,29.12,71.409
86,302.6,55.19,63.8,65.17,28.68,70.869
65,299.5,55.19,57.88,61.11,28.74,71.349
94,298.1,55.11,62.94,63.57,28.33,70.106
105,315.1,55.09,57.22,70.18,29.03,69.52
75,318.3,54.94,54.42,65.38,29.13,70.815
92,300,54.92,54.89,66.34,29.36,71.458
74,289.9,54.89,56.05,60.63,28.54,71.662
101,303.1,54.79,55.88,65.67,28.86,70.721
53,291.9,54.76,51.56,63.72,30,72.773
87,315.9,54.73,52.08,67.08,29.56,71.252
51,287.1,54.69,54.86,56.79,27.82,73.177
98,314.6,54.66,58.41,68.36,29.45,70.229
78,292.6,54.11,52.89,64.94,29.51,71.905
51,290.6,53.58,44.01,61.85,30.2,73.624
81,299,53.49,59.09,61.9,28.34,70.786
84,295.3,53.27,61.09,63.39,28.85,70.85
84,289.1,53.27,54.99,60.35,28.46,71.827
83,302.2,52.93,57.87,67.88,29.41,70.578
90,300.3,52.91,58.36,64.88,28.11,70.098
110,310.1,52.61,56.77,66.88,29.15,70.8
91,301.4,52.22,56.95,62.77,28.44,70.641
67,289.3,51.99,55.24,65.52,29.81,72.146
65,290.6,47.15,57.4,63.75,28.25,71.663
63,278.8,72.73,58.31,69.96,29.88,70.965
75,289.9,71.67,56.31,68.65,30.29,71.476
93,272.3,71.49,57.99,63.59,28.92,71.72
54,270.1,70.75,61.03,65.72,29.36,71.071
98,284.8,70.53,63.28,66.91,28.64,70.244
89,284.8,70.06,57.08,67.23,29.61,71.151
